Oceans,Regions,Measurement
Atlantic Ocean,Caribbean Sea,0.00216
Atlantic Ocean,Caribbean Sea,0.00216
Pacific Ocean,,0.00216
Pacific Ocean,,0.0108
Atlantic Ocean,Caribbean Sea,0.01512
Pacific Ocean,Gulf of Alaska,0.025
Atlantic Ocean,Mediterranean Sea,0.809524
Atlantic Ocean,Inner Seas off the West Coast of Scotland,0.01685
Arctic Ocean,Norwegian Sea,0.342259
Atlantic Ocean,,0.194384
Atlantic Ocean,Mediterranean Sea,1.699456
Atlantic Ocean,Mediterranean Sea,2.744511
Atlantic Ocean,,0.013072
Atlantic Ocean,Celtic Sea,6
Atlantic Ocean,,0.049375
Atlantic Ocean,,1297.09
Atlantic Ocean,,1324.2
Atlantic Ocean,,0.010796
Atlantic Ocean,,0.003656
Atlantic Ocean,,0.00216
Atlantic Ocean,,0.11192
Atlantic Ocean,,0.0048
Atlantic Ocean,,2960
Atlantic Ocean,,0.004
Atlantic Ocean,,0.046804
Atlantic Ocean,,0.01296
Atlantic Ocean,,0.0216
Atlantic Ocean,,0.043196
Atlantic Ocean,,0.0216
Atlantic Ocean,,0.320376
Atlantic Ocean,Gulf of Mexico,705.218618
Atlantic Ocean,Gulf of Mexico,1410.437236
Atlantic Ocean,,0.004048
Pacific Ocean,,0.154596
Pacific Ocean,,2.047425
Atlantic Ocean,,0.01296
Atlantic Ocean,,0.003
Atlantic Ocean,Caribbean Sea,0.00648
Pacific Ocean,,0.0108
Atlantic Ocean,Caribbean Sea,0.06
Atlantic Ocean,Mediterranean Sea,1.599813
Atlantic Ocean,Inner Seas off the West Coast of Scotland,0.101292
Atlantic Ocean,North Sea,0.084239
Atlantic Ocean,,8.5
Atlantic Ocean,,0.00864
Atlantic Ocean,,0.12693
Atlantic Ocean,,0.110152
Atlantic Ocean,,0.00216
Atlantic Ocean,Mediterranean Sea,0.554762
Atlantic Ocean,Mediterranean Sea,0.064788
Pacific Ocean,,0.933
Pacific Ocean,Gulf of California,2115.655853
Atlantic Ocean,,0.075592
Atlantic Ocean,,0.0243
Atlantic Ocean,,0.032396
Atlantic Ocean,,0.04
Atlantic Ocean,,0.028724
Atlantic Ocean,,0.194384
Atlantic Ocean,,0.0027
Atlantic Ocean,,0.00648
Atlantic Ocean,,0.00216
Atlantic Ocean,,0.0108
Atlantic Ocean,Gulf of Mexico,3000
Pacific Ocean,,1.336759
Atlantic Ocean,,0.0024
Atlantic Ocean,,0.0072
Atlantic Ocean,,0.004
Pacific Ocean,,0.934591
Pacific Ocean,,0.05
Pacific Ocean,,0.0108
Pacific Ocean,,0.006416
Atlantic Ocean,Mediterranean Sea,2.014904
Atlantic Ocean,Inner Seas off the West Coast of Scotland,0.01667
Atlantic Ocean,North Sea,0.140195
Atlantic Ocean,,0.171033
